#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AH41,,IOBS,IO_L3N_14,UNUSED,,14,,,,,,,,,
AH42,,,VCCO_14,,,14,,,,,1.50,,,,
AJ1,,OPAD,MGTTXP1_113,UNUSED,,,,,,,,,,,
AJ2,,OPAD,MGTTXN1_113,UNUSED,,,,,,,,,,,
AJ3,,,GND,,,,,,,,,,,,
AJ4,,,MGTAVTT_S,,,,,,,,,,,,
AJ5,,IPAD,MGTRXP3_112,UNUSED,,,,,,,,,,,
AJ6,,IPAD,MGTRXN3_112,UNUSED,,,,,,,,,,,
AJ7,,,GND,,,,,,,,,,,,
AJ8,,,MGTAVCC_S,,,,,,,,,,,,
AJ9,,,GND,,,,,,,,,,,,
AJ10,,,GND,,,,,,,,,,,,
AJ11,,,GND,,,,,,,,,,,,
AJ12,,,GND,,,,,,,,,,,,
AJ13,,,GND,,,,,,,,,,,,
AJ14,,,GND,,,,,,,,,,,,
AJ15,,IOBS,IO_L10N_MRCC_33,UNUSED,,33,,,,,,,,,
AJ16,,IOBM,IO_L10P_MRCC_33,UNUSED,,33,,,,,,,,,
AJ17,,IOBM,IO_L6P_33,UNUSED,,33,,,,,,,,,
AJ18,,IOBS,IO_L18N_33,UNUSED,,33,,,,,,,,,
AJ19,,,VCCO_32,,,32,,,,,any******,,,,
AJ20,,IOBS,IO_L9N_MRCC_32,UNUSED,,32,,,,,,,,,
AJ21,,IOBM,IO_L9P_MRCC_32,UNUSED,,32,,,,,,,,,
AJ22,,IOBS,IO_L1N_21,UNUSED,,21,,,,,,,,,
AJ23,,IOBM,IO_L5P_21,UNUSED,,21,,,,,,,,,
AJ24,,,GND,,,,,,,,,,,,
AJ25,,IOBM,IO_L9P_MRCC_23,UNUSED,,23,,,,,,,,,
AJ26,,IOBM,IO_L18P_23,UNUSED,,23,,,,,,,,,
AJ27,,IOBS,IO_L16N_23,UNUSED,,23,,,,,,,,,
AJ28,,IOBS,IO_L12N_VRP_23,UNUSED,,23,,,,,,,,,
AJ29,,,VCCO_24,,,24,,,,,2.50,,,,
AJ30,epb_addr<17>,IOB,IO_L14N_VREF_FOE_B_MOSI_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AJ31,epb_addr<15>,IOB,IO_L16P_RS0_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AJ32,epb_addr<14>,IOB,IO_L8N_SRCC_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AJ33,epb_data<31>,IOB,IO_L6P_D7_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AJ34,,,GND,,,,,,,,,,,,
AJ35,,IOBS,IO_L9N_MRCC_14,UNUSED,,14,,,,,,,,,
AJ36,,IOBM,IO_L12P_VRN_14,UNUSED,,14,,,,,,,,,
AJ37,,IOBM,IO_L10P_MRCC_14,UNUSED,,14,,,,,,,,,
AJ38,,IOBS,IO_L8N_SRCC_14,UNUSED,,14,,,,,,,,,
AJ39,,,VCCO_14,,,14,,,,,1.50,,,,
AJ40,,IOBS,IO_L11N_SRCC_14,UNUSED,,14,,,,,,,,,
AJ41,,IOBS,IO_L5N_14,UNUSED,,14,,,,,,,,,
AJ42,,IOBM,IO_L7P_14,UNUSED,,14,,,,,,,,,
AK1,,,GND,,,,,,,,,,,,
AK2,,,GND,,,,,,,,,,,,
AK3,,OPAD,MGTTXP0_113,UNUSED,,,,,,,,,,,
AK4,,OPAD,MGTTXN0_113,UNUSED,,,,,,,,,,,
AK5,,,GND,,,,,,,,,,,,
AK6,,,GND,,,,,,,,,,,,
AK7,,IPAD,MGTREFCLK0N_112,UNUSED,,,,,,,,,,,
AK8,,IPAD,MGTREFCLK0P_112,UNUSED,,,,,,,,,,,
AK9,,,GND,,,,,,,,,,,,
AK10,,,DOUT_BUSY_0,,,,,,,,,,,,
AK11,,,GND,,,,,,,,,,,,
AK12,,,GND,,,,,,,,,,,,
AK13,,,GND,,,,,,,,,,,,
AK14,,IOBS,IO_L9N_MRCC_33,UNUSED,,33,,,,,,,,,
AK15,,IOBM,IO_L9P_MRCC_33,UNUSED,,33,,,,,,,,,
AK16,,,VCCO_33,,,33,,,,,any******,,,,
AK17,,IOBS,IO_L6N_33,UNUSED,,33,,,,,,,,,
AK18,,IOBM,IO_L18P_33,UNUSED,,33,,,,,,,,,
AK19,,IOBS,IO_L10N_MRCC_32,UNUSED,,32,,,,,,,,,
AK20,,IOBM,IO_L10P_MRCC_32,UNUSED,,32,,,,,,,,,
AK21,,,GND,,,,,,,,,,,,
AK22,,IOBM,IO_L1P_21,UNUSED,,21,,,,,,,,,
AK23,,IOBS,IO_L5N_21,UNUSED,,21,,,,,,,,,
AK24,,IOBM,IO_L10P_MRCC_21,UNUSED,,21,,,,,,,,,
AK25,,IOBS,IO_L9N_MRCC_23,UNUSED,,23,,,,,,,,,
AK26,,,VCCO_23,,,23,,,,,any******,,,,
AK27,,IOBM,IO_L16P_23,UNUSED,,23,,,,,,,,,
AK28,,IOBM,IO_L8P_SRCC_23,UNUSED,,23,,,,,,,,,
AK29,,IOBS,IO_L8N_SRCC_23,UNUSED,,23,,,,,,,,,
AK30,epb_addr<16>,IOB,IO_L16N_CSO_B_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AK31,,,GND,,,,,,,,,,,,
AK32,epb_data<27>,IOB,IO_L12P_D3_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AK33,epb_addr<18>,IOB,IO_L8P_SRCC_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AK34,,IOBS,IO_L9N_MRCC_13,UNUSED,,13,,,,,,,,,
AK35,,IOBM,IO_L18P_13,UNUSED,,13,,,,,,,,,
AK36,,,VCCO_13,,,13,,,,,any******,,,,
AK37,,IOBS,IO_L10N_MRCC_14,UNUSED,,14,,,,,,,,,
AK38,,IOBM,IO_L8P_SRCC_14,UNUSED,,14,,,,,,,,,
AK39,,IOBM,IO_L19P_14,UNUSED,,14,,,,,,,,,
AK40,,IOBM,IO_L17P_14,UNUSED,,14,,,,,,,,,
AK41,,,GND,,,,,,,,,,,,
AK42,,IOBS,IO_L7N_14,UNUSED,,14,,,,,,,,,
AL1,,OPAD,MGTTXP3_112,UNUSED,,,,,,,,,,,
AL2,,OPAD,MGTTXN3_112,UNUSED,,,,,,,,,,,
AL3,,,GND,,,,,,,,,,,,
AL4,,,MGTAVTT_S,,,,,,,,,,,,
AL5,,IPAD,MGTRXP2_112,UNUSED,,,,,,,,,,,
AL6,,IPAD,MGTRXN2_112,UNUSED,,,,,,,,,,,
AL7,,,GND,,,,,,,,,,,,
AL8,,,MGTAVCC_S,,,,,,,,,,,,
AL9,,,GND,,,,,,,,,,,,
AL10,,,M2_0,,,,,,,,,,,,
AL11,,,M0_0,,,,,,,,,,,,
AL12,,,GND,,,,,,,,,,,,
AL13,,,VCCO_33,,,33,,,,,any******,,,,
AL14,,IOBS,IO_L0N_33,UNUSED,,33,,,,,,,,,
AL15,,IOBM,IO_L0P_33,UNUSED,,33,,,,,,,,,
AL16,,IOBS,IO_L4N_VREF_33,UNUSED,,33,,,,,,,,,
AL17,,IOBM,IO_L4P_33,UNUSED,,33,,,,,,,,,
AL18,,,GND,,,,,,,,,,,,
AL19,,IOBM,IO_L1P_32,UNUSED,,32,,,,,,,,,
AL20,,IOBM,IO_L5P_32,UNUSED,,32,,,,,,,,,
AL21,,IOBS,IO_L5N_32,UNUSED,,32,,,,,,,,,
AL22,,IOBS,IO_L3N_21,UNUSED,,21,,,,,,,,,
AL23,,,VCCO_21,,,21,,,,,any******,,,,
AL24,,IOBS,IO_L13N_21,UNUSED,,21,,,,,,,,,
AL25,,IOBS,IO_L10N_MRCC_21,UNUSED,,21,,,,,,,,,
AL26,,IOBS,IO_L9N_MRCC_22,UNUSED,,22,,,,,,,,,
AL27,,IOBM,IO_L6P_23,UNUSED,,23,,,,,,,,,
AL28,,,GND,,,,,,,,,,,,
AL29,,IOBM,IO_L2P_23,UNUSED,,23,,,,,,,,,
AL30,,IOBS,IO_L2N_23,UNUSED,,23,,,,,,,,,
AL31,,IOBS,IO_L1N_23,UNUSED,,23,,,,,,,,,
AL32,epb_data<26>,IOB,IO_L12N_D2_FS2_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AL33,,,VCCO_23,,,23,,,,,any******,,,,
AL34,,IOBM,IO_L9P_MRCC_13,UNUSED,,13,,,,,,,,,
AL35,,IOBS,IO_L6N_13,UNUSED,,13,,,,,,,,,
AL36,,IOBS,IO_L18N_13,UNUSED,,13,,,,,,,,,
AL37,,IOBM,IO_L4P_13,UNUSED,,13,,,,,,,,,
AL38,,,GND,,,,,,,,,,,,
AL39,,IOBS,IO_L19N_14,UNUSED,,14,,,,,,,,,
AL40,,IOBS,IO_L17N_14,UNUSED,,14,,,,,,,,,
AL41,,IOBM,IO_L15P_14,UNUSED,,14,,,,,,,,,
AL42,,IOBM,IO_L13P_14,UNUSED,,14,,,,,,,,,
AM1,,,GND,,,,,,,,,,,,
AM2,,,GND,,,,,,,,,,,,
AM3,,OPAD,MGTTXP2_112,UNUSED,,,,,,,,,,,
AM4,,OPAD,MGTTXN2_112,UNUSED,,,,,,,,,,,
AM5,,,GND,,,,,,,,,,,,
AM6,,,MGTAVTT_S,,,,,,,,,,,,
AM7,,IPAD,MGTRXP1_112,UNUSED,,,,,,,,,,,
AM8,,IPAD,MGTRXN1_112,UNUSED,,,,,,,,,,,
AM9,,,GND,,,,,,,,,,,,
AM10,,,GND,,,,,,,,,,,,
AM11,,,M1_0,,,,,,,,,,,,
AM12,epb_addr<11>,IOB,IO_L9N_MRCC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AM13,epb_addr<12>,IOB,IO_L9P_MRCC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AM14,,IOBS,IO_L2N_33,UNUSED,,33,,,,,,,,,
AM15,,,GND,,,,,,,,,,,,
AM16,,IOBS,IO_L8N_SRCC_33,UNUSED,,33,,,,,,,,,
AM17,,IOBM,IO_L14P_33,UNUSED,,33,,,,,,,,,
AM18,,IOBS,IO_L14N_VREF_33,UNUSED,,33,,,,,,,,,
AM19,,IOBS,IO_L1N_32,UNUSED,,32,,,,,,,,,
AM20,,,VCCO_32,,,32,,,,,any******,,,,
AM21,,IOBM,IO_L11P_SRCC_32,UNUSED,,32,,,,,,,,,
AM22,,IOBM,IO_L3P_21,UNUSED,,21,,,,,,,,,
AM23,,IOBM,IO_L7P_21,UNUSED,,21,,,,,,,,,
AM24,,IOBM,IO_L13P_21,UNUSED,,21,,,,,,,,,
AM25,,,GND,,,,,,,,,,,,
AM26,,IOBM,IO_L9P_MRCC_22,UNUSED,,22,,,,,,,,,
AM27,,IOBS,IO_L10N_MRCC_22,UNUSED,,22,,,,,,,,,
AM28,,IOBS,IO_L6N_23,UNUSED,,23,,,,,,,,,
AM29,,IOBS,IO_L4N_VREF_23,UNUSED,,23,,,,,,,,,
AM30,,,VCCO_23,,,23,,,,,any******,,,,
AM31,,IOBM,IO_L1P_23,UNUSED,,23,,,,,,,,,
AM32,,IOBS,IO_L3N_23,UNUSED,,23,,,,,,,,,
AM33,,IOBM,IO_L3P_23,UNUSED,,23,,,,,,,,,
AM34,,IOBM,IO_L6P_13,UNUSED,,13,,,,,,,,,
AM35,,,GND,,,,,,,,,,,,
AM36,,IOBS,IO_L16N_13,UNUSED,,13,,,,,,,,,
AM37,,IOBM,IO_L16P_13,UNUSED,,13,,,,,,,,,
AM38,,IOBS,IO_L4N_VREF_13,UNUSED,,13,,,,,,,,,
AM39,,IOBS,IO_L2N_13,UNUSED,,13,,,,,,,,,
AM40,,,VCCO_14,,,14,,,,,1.50,,,,
AM41,,IOBS,IO_L15N_14,UNUSED,,14,,,,,,,,,
AM42,,IOBS,IO_L13N_14,UNUSED,,14,,,,,,,,,
AN1,,OPAD,MGTTXP1_112,UNUSED,,,,,,,,,,,
AN2,,OPAD,MGTTXN1_112,UNUSED,,,,,,,,,,,
AN3,,,GND,,,,,,,,,,,,
AN4,,,MGTAVTT_S,,,,,,,,,,,,
AN5,,IPAD,MGTRXP0_112,UNUSED,,,,,,,,,,,
AN6,,IPAD,MGTRXN0_112,UNUSED,,,,,,,,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,,MGTAVCC_S,,,,,,,,,,,,
AN9,,,GND,,,,,,,,,,,,
AN10,,,TCK_0,,,,,,,,,,,,
AN11,,,TMS_0,,,,,,,,,,,,
AN12,,,GND,,,,,,,,,,,,
AN13,epb_addr<9>,IOB,IO_L10N_MRCC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AN14,epb_addr<10>,IOB,IO_L10P_MRCC_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AN15,,IOBM,IO_L2P_33,UNUSED,,33,,,,,,,,,
AN16,,IOBM,IO_L8P_SRCC_33,UNUSED,,33,,,,,,,,,
AN17,,,VCCO_33,,,33,,,,,any******,,,,
AN18,,IOBM,IO_L16P_33,UNUSED,,33,,,,,,,,,
AN19,,IOBS,IO_L16N_33,UNUSED,,33,,,,,,,,,
AN20,,IOBM,IO_L7P_32,UNUSED,,32,,,,,,,,,
AN21,,IOBS,IO_L11N_SRCC_32,UNUSED,,32,,,,,,,,,
AN22,,,GND,,,,,,,,,,,,
AN23,,IOBS,IO_L7N_21,UNUSED,,21,,,,,,,,,
AN24,,IOBM,IO_L15P_21,UNUSED,,21,,,,,,,,,
AN25,,IOBS,IO_L15N_21,UNUSED,,21,,,,,,,,,
AN26,,IOBM,IO_L1P_22,UNUSED,,22,,,,,,,,,
AN27,,,VCCO_22,,,22,,,,,any******,,,,
AN28,,IOBM,IO_L10P_MRCC_22,UNUSED,,22,,,,,,,,,
AN29,,IOBM,IO_L4P_23,UNUSED,,23,,,,,,,,,
AN30,,IOBS,IO_L0N_23,UNUSED,,23,,,,,,,,,
AN31,,IOBS,IO_L7N_23,UNUSED,,23,,,,,,,,,
AN32,,,GND,,,,,,,,,,,,
AN33,,IOBM,IO_L5P_23,UNUSED,,23,,,,,,,,,
AN34,,IOBS,IO_L5N_23,UNUSED,,23,,,,,,,,,
AN35,,IOBM,IO_L9P_MRCC_12,UNUSED,,12,,,,,,,,,
AN36,,IOBS,IO_L9N_MRCC_12,UNUSED,,12,,,,,,,,,
AN37,,,VCCO_13,,,13,,,,,any******,,,,
AN38,,IOBM,IO_L12P_VRN_13,UNUSED,,13,,,,,,,,,
AN39,,IOBM,IO_L2P_13,UNUSED,,13,,,,,,,,,
AN40,,IOBM,IO_L0P_13,UNUSED,,13,,,,,,,,,
AN41,,IOBM,IO_L1P_13,UNUSED,,13,,,,,,,,,
AN42,,,GND,,,,,,,,,,,,
AP1,,,GND,,,,,,,,,,,,
AP2,,,GND,,,,,,,,,,,,
AP3,,OPAD,MGTTXP0_112,UNUSED,,,,,,,,,,,
AP4,,OPAD,MGTTXN0_112,UNUSED,,,,,,,,,,,
AP5,,,GND,,,,,,,,,,,,
AP6,,,MGTAVTT_S,,,,,,,,,,,,
AP7,,IPAD,MGTRXP3_111,UNUSED,,,,,,,,,,,
AP8,,IPAD,MGTRXN3_111,UNUSED,,,,,,,,,,,
AP9,,,GND,,,,,,,,,,,,
AP10,,,TDI_0,,,,,,,,,,,,
AP11,sys_clk_p,IOB,IO_L1P_GC_34,INPUT,LVDS_25,34,,,,NONE,,LOCATED,NO,DIFF_TERM,
AP12,sys_clk_n,IOB,IO_L1N_GC_34,,LVDS_25,34,,,,,,LOCATED,NO,DIFF_TERM,
AP13,epb_data<1>,IOB,IO_L5P_A09_D25_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AP14,,,VCCO_34,,,34,,,,,2.50,,,,
AP15,epb_addr<8>,IOB,IO_L17P_A19_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AP16,,IOBM,IO_L12P_VRN_33,UNUSED,,33,,,,,,,,,
AP17,,IOBS,IO_L12N_VRP_33,UNUSED,,33,,,,,,,,,
AP18,,IOBM,IO_L11P_SRCC_33,UNUSED,,33,,,,,,,,,
AP19,,,GND,,,,,,,,,,,,
AP20,,IOBS,IO_L7N_32,UNUSED,,32,,,,,,,,,
AP21,,IOBM,IO_L19P_32,UNUSED,,32,,,,,,,,,
AP22,,IOBS,IO_L19N_32,UNUSED,,32,,,,,,,,,
AP23,,IOBM,IO_L11P_SRCC_21,UNUSED,,21,,,,,,,,,
AP24,,,VCCO_21,,,21,,,,,any******,,,,
AP25,,IOBM,IO_L9P_MRCC_21,UNUSED,,21,,,,,,,,,
AP26,,IOBS,IO_L9N_MRCC_21,UNUSED,,21,,,,,,,,,
AP27,,IOBS,IO_L1N_22,UNUSED,,22,,,,,,,,,
AP28,,IOBS,IO_L3N_22,UNUSED,,22,,,,,,,,,
AP29,,,GND,,,,,,,,,,,,
AP30,,IOBM,IO_L0P_23,UNUSED,,23,,,,,,,,,
AP31,,IOBM,IO_L7P_23,UNUSED,,23,,,,,,,,,
AP32,,IOBM,IO_L13P_23,UNUSED,,23,,,,,,,,,
AP33,,IOBS,IO_L11N_SRCC_23,UNUSED,,23,,,,,,,,,
AP34,,,VCCO_12,,,12,,,,,2.50,,,,
AP35,,IOBS,IO_L10N_MRCC_12,UNUSED,,12,,,,,,,,,
AP36,,IOBM,IO_L10P_MRCC_12,UNUSED,,12,,,,,,,,,
AP37,,IOBM,IO_L2P_12,UNUSED,,12,,,,,,,,,
AP38,,IOBS,IO_L12N_VRP_13,UNUSED,,13,,,,,,,,,
AP39,,,GND,,,,,,,,,,,,
AP40,,IOBS,IO_L0N_13,UNUSED,,13,,,,,,,,,
AP41,,IOBS,IO_L1N_13,UNUSED,,13,,,,,,,,,
AP42,,IOBM,IO_L3P_13,UNUSED,,13,,,,,,,,,
AR1,,OPAD,MGTTXP3_111,UNUSED,,,,,,,,,,,
AR2,,OPAD,MGTTXN3_111,UNUSED,,,,,,,,,,,
AR3,,,GND,,,,,,,,,,,,
AR4,,,MGTAVTT_S,,,,,,,,,,,,
AR5,,IPAD,MGTRXP2_111,UNUSED,,,,,,,,,,,
AR6,,IPAD,MGTRXN2_111,UNUSED,,,,,,,,,,,
AR7,,,GND,,,,,,,,,,,,
AR8,,,MGTAVCC_S,,,,,,,,,,,,
AR9,,,GND,,,,,,,,,,,,
AR10,,,TDO_0,,,,,,,,,,,,
AR11,,,VCCO_34,,,34,,,,,2.50,,,,
AR12,epb_data<5>,IOB,IO_L3P_A13_D29_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AR13,epb_data<0>,IOB,IO_L5N_A08_D24_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AR14,epb_addr<6>,IOB,IO_L15P_A23_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AR15,epb_addr<7>,IOB,IO_L17N_A18_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AR16,,,GND,,,,,,,,,,,,
AR17,,IOBM,IO_L1P_33,UNUSED,,33,,,,,,,,,
AR18,,IOBS,IO_L1N_33,UNUSED,,33,,,,,,,,,
AR19,,IOBS,IO_L11N_SRCC_33,UNUSED,,33,,,,,,,,,
AR20,,IOBS,IO_L3N_32,UNUSED,,32,,,,,,,,,
AR21,,,VCCO_32,,,32,,,,,any******,,,,
AR22,,IOBS,IO_L17N_32,UNUSED,,32,,,,,,,,,
AR23,,IOBS,IO_L11N_SRCC_21,UNUSED,,21,,,,,,,,,
AR24,,IOBM,IO_L17P_21,UNUSED,,21,,,,,,,,,
AR25,,IOBS,IO_L19N_21,UNUSED,,21,,,,,,,,,
AR26,,,GND,,,,,,,,,,,,
AR27,,IOBM,IO_L11P_SRCC_22,UNUSED,,22,,,,,,,,,
AR28,,IOBM,IO_L3P_22,UNUSED,,22,,,,,,,,,
AR29,,IOBS,IO_L5N_22,UNUSED,,22,,,,,,,,,
AR30,,IOBS,IO_L7N_22,UNUSED,,22,,,,,,,,,
AR31,,,VCCO_23,,,23,,,,,any******,,,,
AR32,,IOBS,IO_L13N_23,UNUSED,,23,,,,,,,,,
AR33,,IOBM,IO_L15P_23,UNUSED,,23,,,,,,,,,
AR34,,IOBM,IO_L11P_SRCC_23,UNUSED,,23,,,,,,,,,
AR35,,IOBM,IO_L12P_VRN_12,UNUSED,,12,,,,,,,,,
AR36,,,GND,,,,,,,,,,,,
AR37,,IOBS,IO_L2N_12,UNUSED,,12,,,,,,,,,
AR38,,IOBS,IO_L0N_12,UNUSED,,12,,,,,,,,,
AR39,,IOBM,IO_L14P_13,UNUSED,,13,,,,,,,,,
AR40,,IOBM,IO_L8P_SRCC_13,UNUSED,,13,,,,,,,,,
AR41,,,VCCO_13,,,13,,,,,any******,,,,
AR42,,IOBS,IO_L3N_13,UNUSED,,13,,,,,,,,,
AT1,,,GND,,,,,,,,,,,,
AT2,,,GND,,,,,,,,,,,,
AT3,,OPAD,MGTTXP2_111,UNUSED,,,,,,,,,,,
AT4,,OPAD,MGTTXN2_111,UNUSED,,,,,,,,,,,
AT5,,,GND,,,,,,,,,,,,
AT6,,,GND,,,,,,,,,,,,
AT7,,IPAD,MGTREFCLK1N_111,UNUSED,,,,,,,,,,,
AT8,,IPAD,MGTREFCLK1P_111,UNUSED,,,,,,,,,,,
AT9,,,GND,,,,,,,,,,,,
AT10,,,GND,,,,,,,,,,,,
AT11,,,GND,,,,,,,,,,,,
AT12,epb_data<4>,IOB,IO_L3N_A12_D28_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AT13,,,GND,,,,,,,,,,,,
AT14,epb_addr<5>,IOB,IO_L15N_A22_34,INPUT,LVCMOS25*,34,,,,NONE,,LOCATED,YES,NONE,
AT15,,IOBM,IO_L19P_VRN_34,UNUSED,,34,,,,,,,,,
AT16,,IOBM,IO_L3P_33,UNUSED,,33,,,,,,,,,
AT17,,IOBM,IO_L5P_33,UNUSED,,33,,,,,,,,,
AT18,,,VCCO_33,,,33,,,,,any******,,,,
AT19,,IOBS,IO_L19N_33,UNUSED,,33,,,,,,,,,
AT20,,IOBM,IO_L3P_32,UNUSED,,32,,,,,,,,,
AT21,,IOBS,IO_L15N_32,UNUSED,,32,,,,,,,,,
AT22,,IOBM,IO_L17P_32,UNUSED,,32,,,,,,,,,
AT23,,,GND,,,,,,,,,,,,
AT24,,IOBS,IO_L17N_21,UNUSED,,21,,,,,,,,,
AT25,,IOBM,IO_L19P_21,UNUSED,,21,,,,,,,,,
AT26,,IOBM,IO_L0P_21,UNUSED,,21,,,,,,,,,
AT27,,IOBS,IO_L11N_SRCC_22,UNUSED,,22,,,,,,,,,
AT28,,,VCCO_22,,,22,,,,,any******,,,,
AT29,,IOBM,IO_L5P_22,UNUSED,,22,,,,,,,,,
AT30,,IOBM,IO_L7P_22,UNUSED,,22,,,,,,,,,
AT31,,IOBM,IO_L13P_22,UNUSED,,22,,,,,,,,,
AT32,,IOBS,IO_L15N_23,UNUSED,,23,,,,,,,,,
AT33,,,GND,,,,,,,,,,,,
AT34,,IOBS,IO_L16N_12,UNUSED,,12,,,,,,,,,
AT35,,IOBS,IO_L12N_VRP_12,UNUSED,,12,,,,,,,,,
AT36,,IOBS,IO_L6N_12,UNUSED,,12,,,,,,,,,
AT37,ppc_irq_n,IOB,IO_L0P_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
AT38,,,VCCO_12,,,12,,,,,2.50,,,,
AT39,,IOBS,IO_L14N_VREF_13,UNUSED,,13,,,,,,,,,
AT40,,IOBM,IO_L10P_MRCC_13,UNUSED,,13,,,,,,,,,
AT41,,IOBS,IO_L8N_SRCC_13,UNUSED,,13,,,,,,,,,
AT42,,IOBM,IO_L5P_13,UNUSED,,13,,,,,,,,,
AU1,,OPAD,MGTTXP1_111,UNUSED,,,,,,,,,,,
AU2,,OPAD,MGTTXN1_111,UNUSED,,,,,,,,,,,
AU3,,,GND,,,,,,,,,,,,
AU4,,,MGTAVTT_S,,,,,,,,,,,,
AU5,,IPAD,MGTRXP1_111,UNUSED,,,,,,,,,,,
AU6,,IPAD,MGTRXN1_111,UNUSED,,,,,,,,,,,
AU7,,,GND,,,,,,,,,,,,
AU8,,,MGTAVCC_S,,,,,,,,,,,,
AU9,,IPAD,MGTREFCLK0N_111,UNUSED,,,,,,,,,,,
AU10,,IPAD,MGTREFCLK0P_111,UNUSED,,,,,,,,,,,
AU11,,,GND,,,,,,,,,,,,
AU12,epb_data<13>,IOB,IO_L7P_A05_D21_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AU13,epb_data<12>,IOB,IO_L7N_A04_D20_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AU14,epb_data<2>,IOB,IO_L4N_VREF_A10_D26_34,BIDIR,LVCMOS25*,34,12,SLOW,,NONE,,LOCATED,YES,NONE,
AU15,,,VCCO_34,,,34,,,,,2.50,,,,
AU16,,IOBS,IO_L19N_VRP_34,UNUSED,,34,,,,,,,,,
AU17,,IOBS,IO_L3N_33,UNUSED,,33,,,,,,,,,
AU18,,IOBS,IO_L5N_33,UNUSED,,33,,,,,,,,,
AU19,,IOBM,IO_L19P_33,UNUSED,,33,,,,,,,,,
AU20,,,GND,,,,,,,,,,,,
AU21,,IOBM,IO_L15P_32,UNUSED,,32,,,,,,,,,
AU22,,IOBS,IO_L2N_32,UNUSED,,32,,,,,,,,,
AU23,,IOBM,IO_L8P_SRCC_21,UNUSED,,21,,,,,,,,,
AU24,,IOBS,IO_L8N_SRCC_21,UNUSED,,21,,,,,,,,,
AU25,,,VCCO_21,,,21,,,,,any******,,,,
AU26,,IOBS,IO_L16N_21,UNUSED,,21,,,,,,,,,
AU27,,IOBS,IO_L0N_21,UNUSED,,21,,,,,,,,,
AU28,,IOBM,IO_L17P_22,UNUSED,,22,,,,,,,,,
AU29,,IOBM,IO_L15P_22,UNUSED,,22,,,,,,,,,
AU30,,,GND,,,,,,,,,,,,
AU31,,IOBS,IO_L13N_22,UNUSED,,22,,,,,,,,,
AU32,,IOBS,IO_L17N_23,UNUSED,,23,,,,,,,,,
AU33,,IOBM,IO_L17P_23,UNUSED,,23,,,,,,,,,
AU34,,IOBM,IO_L16P_12,UNUSED,,12,,,,,,,,,
AU35,,,VCCO_12,,,12,,,,,2.50,,,,
AU36,,IOBM,IO_L6P_12,UNUSED,,12,,,,,,,,,
AU37,,IOBM,IO_L4P_12,UNUSED,,12,,,,,,,,,
AU38,,IOBS,IO_L4N_VREF_12,UNUSED,,12,,,,,,,,,
