#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB6,,,GND,,,,,,,,,,,,
AB7,,IPAD,MGTREFCLK0N_114,UNUSED,,,,,,,,,,,
AB8,,IPAD,MGTREFCLK0P_114,UNUSED,,,,,,,,,,,
AB9,,,GND,,,,,,,,,,,,
AB10,,,GND,,,,,,,,,,,,
AB11,,,VCCAUX,,,,,,,,2.5,,,,
AB12,,,GND,,,,,,,,,,,,
AB13,,,VCCINT,,,,,,,,1.2,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,VCCINT,,,,,,,,1.2,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.2,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.2,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
AB22,,,VREFP_0,,,,,,,,,,,,
AB23,,,VCCINT,,,,,,,,1.2,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,,,VCCINT,,,,,,,,1.2,,,,
AB26,,,GND,,,,,,,,,,,,
AB27,,,VCCINT,,,,,,,,1.2,,,,
AB28,,,GND,,,,,,,,,,,,
AB29,,,VCCAUX,,,,,,,,2.5,,,,
AB30,,,VCCO_24,,,24,,,,,2.50,,,,
AB31,epb_addr<27>,IOB,IO_L10N_MRCC_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AB32,,IOBM,IO_L12P_SM13P_15,UNUSED,,15,,,,,,,,,
AB33,,IOBS,IO_L12N_SM13N_15,UNUSED,,15,,,,,,,,,
AB34,,IOBS,IO_L16N_VRP_15,UNUSED,,15,,,,,,,,,
AB35,,,GND,,,,,,,,,,,,
AB36,,IOBS,IO_L8N_SRCC_15,UNUSED,,15,,,,,,,,,
AB37,,IOBM,IO_L1P_15,UNUSED,,15,,,,,,,,,
AB38,,IOBS,IO_L1N_15,UNUSED,,15,,,,,,,,,
AB39,,IOBM,IO_L3P_SM9P_15,UNUSED,,15,,,,,,,,,
